test_loss,i_set,train_loss,train_acc,test_acc,dataset
0.5538277626037598,2,0.4223729968070984,89.84575653076172,89.15857696533203,detailed-1000pre
0.5535309910774231,2,0.42225155234336853,89.84575653076172,89.15857696533203,detailed-1000pre
0.553240954875946,2,0.4221269190311432,89.8136215209961,89.15857696533203,detailed-1000pre
0.5529623627662659,2,0.4220006763935089,89.8136215209961,89.15857696533203,detailed-1000pre
0.5527047514915466,2,0.42187508940696716,89.8136215209961,89.15857696533203,detailed-1000pre
0.5524980425834656,2,0.4217533469200134,89.8136215209961,89.15857696533203,detailed-1000pre
0.552333414554596,2,0.42162978649139404,89.8136215209961,89.15857696533203,detailed-1000pre
0.5521907210350037,2,0.42150411009788513,89.8136215209961,89.32038879394531,detailed-1000pre
0.552022397518158,2,0.4213738441467285,89.8136215209961,89.15857696533203,detailed-1000pre
0.5518068075180054,2,0.4212489426136017,89.8136215209961,89.15857696533203,detailed-1000pre
0.5515719652175903,2,0.4211179316043854,89.8136215209961,89.15857696533203,detailed-1000pre
0.5513156056404114,2,0.42097675800323486,89.8136215209961,89.15857696533203,detailed-1000pre
0.5510503053665161,2,0.420830100774765,89.8136215209961,89.15857696533203,detailed-1000pre
0.550798237323761,2,0.4206855595111847,89.8136215209961,89.15857696533203,detailed-1000pre
0.5505750775337219,2,0.42054155468940735,89.8136215209961,89.15857696533203,detailed-1000pre
0.5503496527671814,2,0.42040082812309265,89.8136215209961,89.15857696533203,detailed-1000pre
0.5500940680503845,2,0.42026251554489136,89.8136215209961,89.15857696533203,detailed-1000pre
0.5497958660125732,2,0.420125812292099,89.8136215209961,89.15857696533203,detailed-1000pre
0.5494416952133179,2,0.4199846386909485,89.8136215209961,89.15857696533203,detailed-1000pre
0.5490401387214661,2,0.4198370575904846,89.8136215209961,89.15857696533203,detailed-1000pre
0.5486131906509399,2,0.41968196630477905,89.8136215209961,89.15857696533203,detailed-1000pre
0.548210084438324,2,0.4195176661014557,89.8136215209961,89.15857696533203,detailed-1000pre
