i_set,test_acc,dataset,train_acc,test_loss,train_loss
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015454292297363,0.4376150369644165
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015044808387756,0.4375710189342499
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014562606811523,0.43752631545066833
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014409422874451,0.43748119473457336
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014483332633972,0.437436580657959
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014452338218689,0.43739283084869385
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014375448226929,0.43734756112098694
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5014852285385132,0.4372981786727905
4,86.61538696289062,detailed-1000pre,89.83766174316406,0.5015439391136169,0.4372469484806061
4,86.61538696289062,detailed-1000pre,89.80519104003906,0.5015736818313599,0.43719831109046936
4,86.61538696289062,detailed-1000pre,89.7727279663086,0.5015910267829895,0.4371500015258789
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5016058087348938,0.4371033310890198
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5016127228736877,0.4370572865009308
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5016056299209595,0.4370110034942627
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5015726685523987,0.4369642436504364
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5015150308609009,0.4369155466556549
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5014521479606628,0.4368658661842346
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5013983845710754,0.4368162453174591
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5013407468795776,0.43676602840423584
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5012776255607605,0.4367140531539917
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5012059807777405,0.4366602897644043
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5011286735534668,0.43660610914230347
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5010704398155212,0.43655073642730713
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5010170936584473,0.4364956021308899
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.500963032245636,0.43643972277641296
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.500876784324646,0.4363807439804077
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5008038282394409,0.436320036649704
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5007603168487549,0.43625688552856445
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5007355809211731,0.4361901581287384
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5006706118583679,0.43612241744995117
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5006089210510254,0.4360481798648834
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5005878210067749,0.43597742915153503
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5006051659584045,0.4358964264392853
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.500601589679718,0.4358183443546295
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5005494356155396,0.4357393682003021
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.500504732131958,0.43565696477890015
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5004722476005554,0.4355735778808594
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5004374384880066,0.43548768758773804
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5003817677497864,0.4353999197483063
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5003011226654053,0.43530890345573425
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5002201795578003,0.43521520495414734
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5001502633094788,0.43511834740638733
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.5001057982444763,0.4350191056728363
4,86.61538696289062,detailed-1000pre,89.90259552001953,0.500089168548584,0.4349205791950226
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5000846982002258,0.43481943011283875
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.5000534653663635,0.4347165822982788
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.4999721646308899,0.43461358547210693
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.49989810585975647,0.4345080256462097
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.4998648762702942,0.434402734041214
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.4998513162136078,0.4342944622039795
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.4998195171356201,0.4341834485530853
4,86.61538696289062,detailed-1000pre,89.87013244628906,0.49975666403770447,0.4340709149837494
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.49967125058174133,0.43395382165908813
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.49959754943847656,0.433832585811615
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.4995449483394623,0.43370819091796875
4,86.76923370361328,detailed-1000pre,89.87013244628906,0.49950534105300903,0.4335784316062927
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.49945682287216187,0.4334445595741272
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49939608573913574,0.4333057999610901
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4993245303630829,0.43316254019737244
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49923059344291687,0.4330185055732727
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4991591274738312,0.4328683614730835
4,86.76923370361328,detailed-1000pre,90.0,0.49908652901649475,0.43271228671073914
4,86.76923370361328,detailed-1000pre,90.0,0.49901723861694336,0.43255314230918884
4,86.76923370361328,detailed-1000pre,90.0,0.4990018904209137,0.43239080905914307
4,86.76923370361328,detailed-1000pre,89.967529296875,0.498975932598114,0.4322190582752228
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49891987442970276,0.43204641342163086
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4988243579864502,0.431867390871048
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4986754059791565,0.4316768944263458
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4985371232032776,0.4314820468425751
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49842172861099243,0.43128424882888794
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.49833860993385315,0.43107497692108154
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.49824434518814087,0.4308645725250244
4,86.76923370361328,detailed-1000pre,89.93506622314453,0.498106986284256,0.4306592047214508
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4979322850704193,0.4304475486278534
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49776676297187805,0.4302304983139038
4,86.76923370361328,detailed-1000pre,89.967529296875,0.4976351261138916,0.4300098419189453
4,86.76923370361328,detailed-1000pre,89.967529296875,0.49754008650779724,0.42978188395500183
4,86.76923370361328,detailed-1000pre,90.0,0.4974304735660553,0.42954984307289124
4,86.76923370361328,detailed-1000pre,90.0,0.49726200103759766,0.42930829524993896
4,86.76923370361328,detailed-1000pre,90.0,0.4970724284648895,0.42905858159065247
